,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
10,关于莉莉周的一切,https://book.douban.com/subject/1926700/,7.7,36938,日,岩井俊二,天津人民出版社,リリイ・シュシュのすべて,张苓,2006-12,285,28.00,平装, ,9787201053691,故事发生在田园风景广袤幽静的彼端。默默忍受着同学欺负的莲见雄一，逐渐变得自闭孤僻。他只有在歌手“莉莉周”的歌声里寻求安慰，习惯于在“莉莉周”的网站BBS和别人交流。在这个虚拟世界里，他和一个叫“青猫”的ID相遇。随着倾诉的话语愈加痛楚，他们互相安慰，彼此温暖，约定在莉莉周演唱会上见面，那一晚，当莉莉周的音乐响起，在那个现实与虚幻的交叉点上，却爆发成一个残酷的青春物语……,岩井俊二，著名导演、作家。1995年拍摄的《情书》，以其清新感人的故事和明快唯美的影像在日本引起了空前轰动，并很快成为亚洲乃至世界众多影迷心中的最爱，更被众多影评人视为日本新电影运动中最重要的作品之一。其代表作还有《燕尾蝶》（1996年）、《四月物语》（1998年）、《关于莉莉周的一切》（2001年）、《花与爱丽丝》（2004）年等，都以影像清新独特、感情细腻丰富著称。《关于莉莉周的一切》，公映时再破《情书》纪录，轰动世界影坛。整部作品犹如德彪西的音乐，极富色彩感，被誉为“残酷青春”代表之作。
11,七龍珠 34,https://book.douban.com/subject/1389960/,9.3,23209,日,鸟山明,東立, ,牟琳,1993-6-25,242,6.90,平装,七龍珠 正式授权台湾中文版宝岛少年系列,9789573403975,很久很久以前，地球上散落着七颗神奇的龙珠，传说只要聚齐它们，神龙就会出现，并可以为人实现一个愿望。为了寻找龙珠，孙悟空等人踏上了奇妙的寻珠之旅。经历了许多危险之后，终于集齐的龙珠却被抢走了。为了不让龙珠被坏蛋利用，悟空他们只好许了个无聊的愿望。神龙实现一个愿望之后，必须经过一年才会再次出现。利用这段时间，悟空去了龟仙人那里拜师学艺，而后又踏上寻找龙珠的旅程。 时光流逝……魔导师巴比迪唤醒了厉害无比的魔人布欧。人类灭绝了，超级悟天克斯、比克、还有悟饭，都被一一吸收，魔人布欧成为了全世界最厉害的人。现在，要打倒布欧，只能靠悟空了。从15代以前的界王神那里得到生命的悟空向布欧发起了挑战……,"鸟山明 生于1955年4月5日，日本爱知县。 成就辉煌 公认的当今日本漫画界首席代表，被称作是继已故漫画大师手冢治虫（“日本漫画之神”）之后日本漫画界最有影响力的人物。 他的成名之作《阿拉蕾（Dr. Slump）》和代表作《龙珠（Dragon Ball）》在全世界都极受欢迎，广受赞誉。 至1995年7月，《Dr. Slump》共售出28,110,000份拷贝，而《Dragon Ball》更是创造了109,300,000的销售记录。 1974年鸟山明从县立工业高中设计科毕业，进了一家广告设计公司，从事设计工作。由于他经常迟到，只干了3年就辞职了。 有一天，他在茶馆里看到《少年JUMP》周刊，被漫画征稿的奖金吸引住了，满心欢喜地把应征稿送去,却落选了。他没有灰心，又画了一幅送去。就这样，不断地投稿，终于在1978年他的《岛上漫游》在《少年JUMP》上刊出了。这是他第一次崭露头角。 1980年，他的《Dr. Slump》开始在《少年JUMP》上连载。故事中的天才博士和他制造的机器娃阿拉蕾引起了读者极大的兴趣。阿拉蕾常说的那些不规范的地方话一时成了大街小巷的流行语言，阿拉蕾的形象被印制在各种商品上，人们把这一年称作“阿拉蕾年”。这部作品使作者一举成名。然而，鸟山明并没有因此而满足，在之后的十年（1985-1995），他不可思议地完成了惊世名作《Dragon Ball》，事业成就达到了新的高峰。 在这期间鸟山明还担任任天堂《勇者斗恶龙（Dragon Quest）》六部系列及史克威尔《克鲁洛时空之旅（Chrono Trigger）》等游戏的角色设计工作，同样获得了巨大成功。 在休息了两年半之后，鸟山明又在1997年11月推出了一部作品，名叫“Cowa！”。描述一个人与妖怪共存的世界，主要面向低龄读者。 1998年7月，鸟山明再次推出12章篇幅的新作“Kajika”，这部系列较大程度地受到《Dragon Ball》的影响。"
12,我的精神家园,https://book.douban.com/subject/1014578/,9.1,31412, ,王小波,文化艺术出版社, , ,1997,303,18.80,平装, ,9787503915864,一九九七年六月，王小波逝世两个月后，他的杂文自选集《我的精神家园》出版。这是第一版的封面。相比于2002版出版的《我的精神家园》纪念版来说，这一版本没有纪念文章，只收有王自己的文字。当时这本书，和九七年五月第一次在大陆出版的《黄金时代》《白银时代》和《青铜时代》一起上架，十月又出版了《沉默的大多数》。一时间，大家都知道了，有一个王小波。可惜，那时他已辞世，只留下书店里满架的王小波，像一场喧哗无声的葬礼。,王小波：学者，作家。1952年5月13日出生于北京，1968去云南插队，1978年考入中国人民大学学习商业管理。1984年至1988年在美国匹兹堡大学学习，或硕士学位后回国，曾任教于北京大学和中国人民大学，后辞职专事写作。1997年4月11日病逝于北京。 代表作有长篇小说《时代三部曲》、电影文学剧本《东宫西宫》及数十万字的杂文随笔文字。
13,安徒生童话故事集,https://book.douban.com/subject/1046209/,9.3,128183, ,（丹麦）安徒生,人民文学出版社, ,叶君健,1997-08,550,25.00,精装,世界文学名著文库,9787020017713,,安徒生是丹麦19世纪著名童话作家，世界文学童话创始人。他生于欧登塞城一个贫苦鞋匠家庭，早年在慈善学校读过书，当过学徒工。受父亲和民间口头文学影响，他自幼酷爱文学。 “为了争取未来的一代”，安徒生决定给孩子写童话，出版了《讲给孩子们听的故事》。此后数年，每年圣诞节都出版一本这样的童话集。其后又不断发表新作，直到1872年因患癌症才逐渐搁笔。近40年间，共计写了童话168篇。 安徒生的创作可分早、中、晚三个时期。早期童话多充满绮丽的幻想、乐观的精神，体现现实主义和浪漫主义相结合的特点。代表作有《打火匣》、《小意达的花儿》、《拇指姑娘》、《海的女儿》、《野天鹅》、《丑小鸭》等。中期童话，幻想成分减弱，现实成分相对增强。在鞭挞丑恶、歌颂善良中，表现了对美好生活的执着追求，也流露了缺乏信心的忧郁情绪。代表作有《卖火柴的小女孩》、《白雪皇后》、《影子》、《一滴水...(展开全部)
14,告别薇安,https://book.douban.com/subject/1023500/,7.6,18595, ,安妮宝贝,南海出版公司, , ,2002-1,308,18.00,平装, ,9787544220460,短篇小说集,安妮宝贝，自由作家，曾任职金融网络广告行业。1998年开始发表小说，因作品风格独特引起广泛关注。题材多围绕宿命，自由，漂泊等命题思考，创作工业化大城市中游离者的生活；他们在爱和幻觉中的决然出行，及对自我的追寻。 2000年起出版小说集《告别薇安》，《八月未央》，长篇小说《彼岸花》，面市后都十分畅销。 安妮宝贝现居北京。从事专业写作及为杂志撰写独立摄影采访和专栏。
15,乱马1/2,https://book.douban.com/subject/1388169/,8.7,22734, ,高桥留美子,吉林美术出版社, , ,2005-1-1,1848,6.50,平装(无盘),乱马1/2,9787538617436,从中国归来的早乙女父子是拳法的高手。可是，只要被凉水浇到，父亲玄马就会变成熊猫，而儿子乱马则会变成女孩子！这是他们在中国的咒泉乡修行的结果。不过，只要浇上热水，他们就会恢复成原来的样子。回到日本后的早乙女父子暂时寄居在无差别格斗流的天道道场。并且，乱马和天道家的三女儿小茜订下了婚约。接下来，乱马又转入了风林馆高中，和小茜成为了同班同学。乱马和小茜两人的关系将会如何发展下去呢？,高桥留美子，出生于日本新泻县。生日10月10日。血型为A型。1978年在日本女子大学就学时发表处女作《任性的家伙们》，并得到第二回新人漫画大赏的佳作奖。同时，在《周刊少年星期天》上连载《福星小子》。 1996年开始连载超人气《犬夜叉》，并第二次获得第47次小学馆漫画奖。她的代表作主要有：《福星小子》、《相聚一刻》、《乱马1/2》等。现在，《犬夜叉》正在连载中。
16,海子的诗,https://book.douban.com/subject/1011754/,9.0,45175, ,海子,人民文学出版社, , ,1999-04,292,15.40,平装,蓝星诗库,9787020026456,本书收录了已故诗人海子的诗作精华，其诗以独特的风格深受读者的喜爱，从这些诗中反映出诗人那对于一切美好事物的眷恋之情，对于生命的世俗和崇高的激动和关怀。,海子，原名查海生，1964年3月生于安徽怀宁县高河查湾。1979年考入北京大学法律系，1983年毕业后任教于中国政法大学。1989年3月26日卒于河北山海关。已出版作品有长诗《土地》（1990年，春风文艺出版社）和短诗选集《海子、骆一禾作品集》（1991年，南京大学出版社）。
17,我的名字叫红,https://book.douban.com/subject/1851385/,7.9,26148,土耳其,奥尔罕·帕慕克,上海人民出版社,Benim Adım Kırmızı,沈志兴,2006-8,500,29.00,平装,奥尔罕·帕慕克作品系列,9787208061750,1590年末的伊斯坦布尔，国王苏丹秘密委制一本伟大的书籍，颂扬他的生活与帝国。四位当朝最优秀的细密画家齐聚京城，分工合作，精心绘制这本旷世之作。此时离家12年的青年黑终于回到他的故乡——伊斯坦布尔，迎接他归来的除了爱情，还有接踵而来的谋杀案…… 一位细密画家失踪了，随即被发现死于深井中，奉命为苏丹绘制抄本的长者也惨遭杀害。遇害的画家究竟是死于画师间的夙仇、爱情的纠葛、还是与苏丹的这次秘密委托有关？苏丹要求宫廷绘画大师奥斯曼和青年黑在三天内查出结果，而线索，很可能……就藏在书中未完成的图画某处。 究竟谁是凶手？动机是什么？作者让相关人士全部都现身说法了：一只狗、一棵树、一枚金币、红色，两具尸体及死亡，甚至凶手全都站出来了。他们仿若有生命般，靠着自己的经历与观察，仔细地告诉我们每一条蛛丝马迹。,"奥尔罕·帕慕克（Orhan Pamuk, 1952- ），当代欧洲最杰出的小说家之一，享誉国际的土耳其文学巨擘。出生于伊斯坦布尔，曾在伊斯坦布尔科技技大学主修建筑。2006年获诺贝文学奖，作品已经被译为40多种语言出版。"
18,花季雨季,https://book.douban.com/subject/1087758/,7.3,20150, ,郁秀,海天出版社, , ,1996-10,416,16.00,平装, ,9787806154892,故事讲述了在深圳这个年轻的城市中一群年轻人的青春成长的历程。新的学期开始了，谢欣然、陈明等几个同学升入了高一，新来的班主任江楠也以自己独特的方式赢得了同学们的喜爱。从无忧无虑的十六岁花季走向敏感、多思的十七岁雨季，一系列成长的烦恼在这群高中生的心里渐渐地弥漫着，一系列来自于家庭、社会的各方面困扰和难题在他们的心里泛起波澜。 班长谢欣然学习成绩优秀，但由于没有本市户口，时常面对各种问题发愁，陈明学习刻苦，但对班级活动和他人漠不关心，而刘夏决定当演员，也以自己独特的方式使面临情感危机的父母言归于好。 学校开始评选特优生了，陈明和谢欣然成为竞争对手，然而，在“漫画”事件中，陈明表现出的自私狭隘让江老师忧虑，而谢欣然也因为户口被爸爸让给别人而因爸爸产生了自卑感，并且，在暑假打工中又经历了当临时“拉长”的挫折，也产生也一些关于“竞争”的不良情绪，观察入微的江老师带领学生进行了一次别开生面的课外教育，带领全班去了贫困地区的歧山小学考察。 在歧山小学类似《背起爸爸上学》的所见所闻，让陈明和谢欣然都从自我的小圈子里走了出来，明白了人生的道理，而又在特优生的竞选演说中倾诉了自己的感悟过程，最终，两个人双双被评为特优生，而欣然的户口问题，也最终得到了解决。,郁秀，女，1974年出生，1984年随父母移居深圳。1993年高中毕业后就读深圳大学与美国西雅图艾德蒙学院联办的学位课程，后留学美国。 在深圳十年，以一个女中学生的独有眼光，观察特区的社会变化对教育及青少年的深刻影响，对特区少男少女的丰富生活有独特的体验，产生强烈的创作冲动。高一起即在老师的鼓励下开始创作，高三时草成，大二赴美前改出。作品几乎是同步描写同龄人的生活，具有浓郁的校园色彩、特区观念与超前意识，为中学生写中学生的小说揭开了新的一页。
19,水仙已乘鲤鱼去,https://book.douban.com/subject/1018153/,7.8,32021, ,张悦然,作家出版社, , ,2005-1,271,19.00,平装, ,9787506331753,璟小时候奇胖，母亲常冷嘲她的丑陋。11岁，奶奶、父亲先后亡故，母亲曼改嫁开画廊的陆逸寒，住进桃李街3号。璟受到继父及其儿子小卓的关爱。然而因受精神刺激，罹患暴食症——常常突然无比饥饿，夜半跑去厨房狼吞虎咽吃下整个冰箱的食物。 璟爱上继父，被母亲发现，被送往寄宿学校，开始制止暴食。三年后，出落成一个美少女回到桃李街3号。母亲早已又嫁他人，陆逸寒在她回家的第二天车祸而亡。璟打工维持自己和小卓的生活，最好的朋友优弥因她之故被关进监狱。艰苦的生活使她变得自闭。 陆逸寒真正的心上人是曾经名噪一时的女作家从微，璟想抵达陆逸寒的内心世界，开始写作。历经常人难以想象的万般艰苦，终于成功，不幸小卓又因心脏病离世。过度打击使璟暴食症复发，她的编辑沉和带她去南方休养。 沉和帮助璟找到偶像从微，万没想到的是，多年来她一直生活在精神病院。璟将其接回桃李街3号，准备和沉和一起照料从微相依为命。一场神秘的无情大火，使沉和、从微都葬身火海，璟又独自面对这个世界。 又是一年岁末，璟到医院准备打掉与沉和的孩子，正碰上来做检查准备生孩子的母亲。曼意味深长地向璟微笑，好像看到了二十几年前的自己。,张悦然，女，全国新概念作文大赛A组一等奖获得者，“新概念作家”代表人物之一。1982年出生于山东济南，2001年毕业于山东省实验中学，后考入山东大学英语、法律双学位班，现在新加坡国立大学攻读理科。其作《陶之陨》、《黑猫不睡》等作品在《萌芽》杂志发表后，在青少年文坛引起巨大反响，并被《新华文摘》等多家报刊转载。2002年被《萌芽》网站评为“最富才情的女作家”。
20,鲁滨逊漂流记,https://book.douban.com/subject/1016003/,8.2,156192,英,笛福,广西民族出版社, ,马静,2002-1,209,9.20,平装,世界文学名著精粹,9787536340497,《鲁滨逊飘流记》是18世纪英国作家达尼尔·笛福的代表作品，也是一部具有广泛的世界性影响的作品。 小说以1704年一名苏格兰水手亚历山大·薛里基洛克航海遇险，飘流在一个荒岛上，并且单独留居了四年才被救回了故事作为素材，加工而成的。小说的主人公鲁滨逊是一青年，性喜冒险。他不顾父亲的劝阻，决心要过海上生活。开头号几次航海以商颇为顺利，但有一次为土耳其海盗所俘，幸而不久脱脱逃，至巴西经营蔗田和糖厂。四年后，因获暴利又往非洲反卖黑 八股中于大海中遇险，船上全部船员葬身鱼腹，仅鲁滨逊一个脱难，飘流至一荒岛之上。从此，他孤独一个在岛羊、造船等。后来。他救了一个野人俘虏，取名礼拜五。鲁滨逊在岛上生活了二十八年，最后一艘英国船航经荒岛，他才有机会搭船回国。,达尼尔·笛福1660年出生在人伦郭一个商人家庭，父亲经营屠宰业。笛福受过中等教育，信奉不属于英国国教的长老会教派。由于家庭的影响，新教学校的教育，他二十岁时已经成为一个体面的小商人了。 他把他的一切希望都建筑在他的商业活动中。他做过烟洒生意，做过内衣制作中间商，也开办过工厂。正处在原始积累阶段的英国资本主义，给他带来了很多的好处，马车、住房和“兴高采烈的生活”。但由于他信奉的是新教，反对英国国教的统冶和压迫，出版调刺政府的小册子，从事政冶活动，1702年被捕入狱。后来，他又被捕过几次，也都是因为他的言论，他办的报纸和刊物，他出版的政冶经济的小册子。因此，他的一生是在不断地入狱和破产中度过的，他始终没能实现他的理想，成为一个大商人，成为一富翁。
21,菊与刀,https://book.douban.com/subject/1022238/,8.2,66743,美,鲁思・本尼迪克特,商务印书馆,The Chrysanthemum and the Sword,吕万和 / 熊达云,1990-6,218,16.00,平装,日本丛书,9787100012935,“菊”本是日本皇室家徽，“刀”是武士道文化的象征。美国人类学家鲁思・本尼迪克特用《菊与刀》来揭示日本人的矛盾性格亦即日本文化的双重性(如爱美而黩武、尚礼而好斗、喜新而顽固、服从而不驯等)……,鲁思·本尼迪克特(Ruth Benedict)1887年生于纽约。原姓富尔顿(Fulton)，其祖先曾参加美国独立战争。她本人大学时期主修英国文学。1919年入哥伦比亚大学研究人类学，是Franz Boas的学生，1923年获博士学位。1927年研究印第安部落的文化，写成《文化的类型》(Patterns of Culture，1934年出版)一书。1940年著《种族：科学与政治》(Race：Science and Politics)，批判种族歧视。第二次世界大战期间从事对罗马尼亚、荷兰、德国、泰国等国民族性的研究，而以对日本的研究，即《菊与刀》一书成就最大。战后，她继续在哥伦比亚大学参加“当代文化研究”，于1948年9月，病逝。
22,三体,https://book.douban.com/subject/2567698/,8.9,486286, ,刘慈欣,重庆出版社, , ,2008-1,302,23.00,平装,科幻世界·中国科幻基石丛书,9787536692930,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰…… 四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他们接收到了地球发来的信息。在运用超技术锁死地球人的基础科学之后。三体人庞大的宇宙舰队开始向地球进发…… 人类的末日悄然来临。,刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。 自1999年处女作《鲸歌》问世以来，刘慈欣已发表短篇科幻小说三十余篇、出版长篇科幻小说六部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。他的长篇作品《三体》开创《科幻世界》月刊连载原创作品的先例，成为2006年度最受关注、最畅销的科幻小说。
23,退步集,https://book.douban.com/subject/1003284/,8.1,24011, ,陈丹青,广西师范大学出版社, , ,2005-1,427,38.00,平装,理想国·陈丹青作品,9787563351398,《退步集》是陈丹青归国五年来部分文字的结集，三十余篇文章，话题兼及绘画、影像、城市、教育诸方面，自云“退步”，语涉双关，也可理解为对百年中国人文艺术领域种种“进步观”的省思和追问。,陈丹青，1953年生与上海，1970年至1978年辗转赣南与苏北农村插队落户，其间自习绘画。1978年以同等学历考入中央美术学院油画系研究生班，1980年毕业留校，1982年赴纽约定居，自由职业画家。2000年回国，现定居北京。早年作《西藏组画》，近十年作并置系列及书籍景物系列。业余写作，2000年出版文集《纽约琐记》，2002年出版《陈丹青音乐笔记》，2003年出版杂文集《多余的素材》。
24,民主的细节,https://book.douban.com/subject/3813669/,8.5,76086, ,刘瑜,上海三联书店, , ,2009-6,293,25.00,平装,刘瑜作品系列,9787542629586,这本书是作者过去几年给一些期刊报纸写的专栏文章结集，其中主要是给《南方人物周刊》的文章。全书中以讲故事的形式，把“美国的民主”这样一个概念性的东西拆解成点点滴滴的事件、政策和人物去描述。,刘瑜，哥伦比亚大学政治学博士，哈佛大学博士后，剑桥大学讲师。现任教于清华大学政治系，担任副教授。
